PlayerID,First,Last,YearID,G,AB,R,H,2B,3B,HR,AVG,RBI,SB,BB,SO,Season,Ballot
amalfjo01,Joey,Amalfitano,1961,643,1715,248,418,67,19,9,0.243731778,123,19,185,224,10,N
batteea01,Earl,Battey,1961,1141,3586,393,969,150,17,104,0.270217513,449,13,421,470,13,N
blancjo01,Johnny,Blanchard,1961,516,1193,137,285,36,2,67,0.238893546,200,2,136,163,10,N
blasido01,Don,Blasingame,1961,1444,5296,731,1366,178,62,21,0.257930514,308,105,552,462,15,N
brandja01,Jackie,Brandt,1961,1221,3895,540,1020,175,37,112,0.261874198,485,45,351,574,13,N
bressed01,Eddie,Bressoud,1961,1186,3672,443,925,184,40,94,0.251906318,365,9,359,723,12,N
covinwe01,Wes,Covington,1961,1075,2978,355,832,128,17,131,0.279382136,499,7,247,414,15,N
durenry01,Ryne,Duren,1961,312,114,8,7,1,0,0,0.061403509,5,0,9,66,13,N
facero01,Roy,Face,1961,853,194,9,31,3,0,0,0.159793814,7,0,2,47,17,Y
freesge02,Gene,Freese,1961,1115,3446,429,877,161,28,115,0.254497969,432,51,243,535,15,N
halldi01,Dick,Hall,1961,669,714,79,150,15,4,4,0.210084034,56,6,61,147,19,N
henrybi01,Bill,Henry,1961,531,203,13,36,4,2,0,0.177339901,18,0,8,71,18,N
howarel01,Elston,Howard,1961,1605,5363,619,1471,218,50,167,0.27428678,762,9,373,786,15,Y
jacksla01,Larry,Jackson,1961,599,1089,77,170,22,6,2,0.15610652,48,2,41,310,15,N
kaskoed01,Eddie,Kasko,1961,1077,3546,411,935,146,13,22,0.263677383,261,31,265,353,10,N
keougma01,Marty,Keough,1961,841,1796,256,434,71,23,43,0.241648107,176,26,164,318,13,N
kindaje01,Jerry,Kindall,1961,742,2057,211,439,83,9,44,0.213417598,198,17,145,535,10,N
lumpeje01,Jerry,Lumpe,1961,1371,4912,620,1314,190,52,47,0.267508143,454,20,428,411,13,N
mantife01,Felix,Mantilla,1961,969,2707,360,707,97,10,89,0.261174732,330,27,256,352,11,N
odellbi01,Billy,O'Dell,1961,530,528,43,66,6,0,2,0.125,19,5,38,171,14,N
owensji01,Jim,Owens,1961,287,218,4,22,4,0,0,0.100917431,11,0,14,102,12,N
pearsal02,Albie,Pearson,1961,988,3077,485,831,130,24,28,0.270068248,214,77,477,195,10,N
podrejo01,Johnny,Podres,1961,462,762,61,145,19,1,2,0.190288714,50,1,32,108,16,Y
roebued01,Ed,Roebuck,1961,460,137,14,28,4,0,2,0.204379562,10,0,4,39,13,N
skowrbi01,Bill,Skowron,1961,1658,5547,681,1566,243,53,211,0.282314765,888,16,383,870,16,N
sprinja01,Jack,Spring,1961,155,28,0,3,0,0,0,0.107142857,0,0,1,16,10,N
terryra01,Ralph,Terry,1961,339,593,22,95,8,0,1,0.160202361,26,0,19,151,15,N
virgioz01,Ozzie,Virgil,1961,324,753,75,174,19,7,14,0.231075697,73,6,34,91,10,N
worthal01,Al,Worthington,1961,602,255,22,35,7,0,1,0.137254902,15,0,8,85,16,N
aguirha01,Hank,Aguirre,1962,447,388,14,33,7,1,0,0.085051546,21,1,14,236,16,N
bankser01,Ernie,Banks,1962,2528,9421,1305,2583,407,90,512,0.274174716,1636,50,763,1236,19,Y
boyerke01,Ken,Boyer,1962,2034,7455,1104,2143,318,68,282,0.287458082,1141,105,713,1017,17,Y
coateji01,Jim,Coates,1962,247,160,14,21,5,0,0,0.13125,7,0,5,93,10,N
colavro01,Rocky,Colavito,1962,1841,6503,971,1730,283,21,374,0.266031063,1159,19,951,880,16,Y
demetdo01,Don,Demeter,1962,1109,3443,467,912,147,17,163,0.264885274,563,22,180,658,14,N
drysddo01,Don,Drysdale,1962,547,1169,96,218,26,7,29,0.186484175,113,0,60,370,14,Y
farretu01,Turk,Farrell,1962,590,436,19,59,7,0,4,0.135321101,18,0,11,165,16,N
gentiji01,Jim,Gentile,1962,936,2922,434,759,113,6,179,0.259753593,549,3,475,663,11,N
greenle01,Lenny,Green,1962,1136,2956,461,788,138,27,47,0.266576455,253,78,368,260,15,N
heldwo01,Woodie,Held,1962,1390,4019,524,963,150,22,179,0.239611844,559,14,508,944,18,N
kingji01,Jim,King,1962,1125,2918,374,699,112,19,117,0.239547635,401,23,363,401,13,N
kirklwi01,Willie,Kirkland,1962,1149,3494,443,837,134,29,148,0.23955352,509,52,323,648,10,N
klinero01,Ron,Kline,1962,743,491,14,45,2,1,0,0.091649695,14,1,15,221,20,N
landiji01,Jim,Landis,1962,1346,4288,625,1061,169,50,93,0.247434701,467,139,588,767,13,N
latmaba01,Barry,Latman,1962,344,332,24,48,6,2,2,0.144578313,25,0,18,90,11,N
lauch01,Charley,Lau,1962,527,1170,105,298,63,9,16,0.254700855,140,3,109,150,15,N
